seed,T,k,avg_price,avg_profit,share_state_0.5_0.5,share_joint_consecutive_0.5,mode_pair,share_mode_pair,std_market,cycle_amp,jump_count_large,regime
345,500000,6,0.45833333333333326,0.09375,0.0,0.0,"(np.float64(0.333333), np.float64(0.5))",0.25,0.15023130314433286,0.41666666666666663,24999,cycling/asymmetric
346,500000,6,0.5,0.09375,0.0,0.0,"(np.float64(0.333333), np.float64(0.5))",0.25,0.18633899812498247,0.5,24999,cycling/asymmetric
347,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
348,500000,6,0.3333466666666666,0.11111138888888891,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",0.99994,0.0019002455981618092,0.3333333333333333,2,focal_equal_price
349,500000,6,0.5,0.09375,0.0,0.0,"(np.float64(0.166667), np.float64(0.333333))",0.25,0.18633899812498247,0.5,25000,cycling/asymmetric
350,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
351,500000,6,0.4999966666666667,0.09374888888888888,0.0,0.0,"(np.float64(1.0), np.float64(0.166667))",0.25002,0.186336016647346,0.5,24998,cycling/asymmetric
352,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
353,500000,6,0.5,0.124995,0.99994,0.99996,"(np.float64(0.5), np.float64(0.5))",0.99994,0.0015811388300841897,0.5,4,monopoly_regime
354,500000,6,0.5,0.09375,0.0,0.0,"(np.float64(0.333333), np.float64(0.5))",0.25,0.18633899812498247,0.5,24999,cycling/asymmetric
355,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
356,500000,6,0.4722233333333333,0.09259361111111111,0.0,0.0,"(np.float64(0.5), np.float64(0.666667))",0.16668,0.22394781413435483,0.6666666666666666,24999,cycling/asymmetric
